TimeStamp,CPU Utilization,Memory Utilization,Package TDP,Max P-Core Frequency,Max E-Core Frequency,Active Core Count,Thermal Throttling,Package Temperature,Processor Cache Frequency,Power Limit Throttling,Current/EDP Limit Throttling,Motherboard VR Thermal Throttling,PMAX Throttling
2026-01-07_16-31-59-938,4.3759,12185,59.6136,5.67,3.6077,5,0,74,4.489,0,0,0,0
2026-01-07_16-32-00-950,8.6119,12193,64.0148,5.4872,2.5123,5,0,63,4.5888,0,0,0,0
2026-01-07_16-32-01-958,5.3573,12190,67.0365,5.623,2.7504,6,0,77,4.489,0,0,0,0
2026-01-07_16-32-02-961,5.391,12173,65.0187,5.623,2.5598,4,0,77,4.5888,0,0,0,0
2026-01-07_16-32-03-971,6.0561,12172,66.4628,5.7858,2.7484,8,0,63,4.489,0,0,0,0
2026-01-07_16-32-04-979,7.5935,12170,64.7935,5.5279,3.5714,4,0,52,4.5888,0,0,0,0
2026-01-07_16-32-05-987,3.1984,12170,64.7935,5.5279,3.5714,4,0,52,4.5888,0,0,0,0
2026-01-07_16-32-06-996,5.4434,12169,58.5191,5.5279,3.5714,5,0,52,4.5888,0,0,0,0
2026-01-07_16-32-08-004,2.9636,12166,63.7648,5.6362,3.5812,3,0,69,4.489,0,0,0,0
2026-01-07_16-32-09-013,5.4033,12164,68.5287,5.5561,2.3941,4,0,60,4.5888,0,0,0,0
2026-01-07_16-32-10-030,1.3245,12162,63.182,5.5533,2.4375,4,0,64,4.489,0,0,0,0
2026-01-07_16-32-11-034,5.2668,12161,9.6415,2.1946,2.3941,3,0,62,1.7956,0,0,0,0
2026-01-07_16-32-12-046,2.3818,12160,8.0515,1.9342,2.3941,4,0,39,1.0973,0,0,0,0
2026-01-07_16-32-13-063,2.1245,12131,8.5772,1.0973,2.3941,4,0,38,1.7956,0,0,0,0
2026-01-07_16-32-14-069,8.4482,12120,7.7031,1.0973,2.3941,4,0,38,1.7956,0,0,0,0
2026-01-07_16-32-15-073,1.3863,12119,8.0086,1.2968,2.3941,5,0,38,0.798,0,0,0,0
2026-01-07_16-32-16-079,2.435,12117,8.7674,1.1971,2.3941,3,0,38,1.7956,0,0,0,0
2026-01-07_16-32-17-086,2.1112,12117,7.108,1.1971,2.3941,4,0,37,1.7956,0,0,0,0
2026-01-07_16-32-18-093,2.6526,12117,8.1253,1.7956,2.3941,3,0,39,1.7956,0,0,0,0
2026-01-07_16-32-19-108,3.092,12117,8.1253,1.7956,2.3941,3,0,39,1.7956,0,0,0,0
2026-01-07_16-32-20-113,3.2465,12138,8.0944,2.3974,2.2552,3,0,39,0.798,0,0,0,0
2026-01-07_16-32-21-121,1.6204,12128,12.608,1.6959,2.3941,3,0,39,4.489,0,0,0,0
2026-01-07_16-32-22-131,2.3901,12129,8.9865,1.6959,2.3941,6,0,39,2.2944,0,0,0,0
2026-01-07_16-32-23-140,3.6565,12129,6.8626,1.947,2.3941,3,0,38,1.7956,0,0,0,0
2026-01-07_16-32-24-149,3.4925,12130,8.1393,1.8485,2.3941,2,0,38,1.7956,0,0,0,0
2026-01-07_16-32-25-157,2.579,12131,7.7081,1.3966,2.3941,3,0,39,1.7956,0,0,0,0
2026-01-07_16-32-26-161,2.4303,12132,7.2879,1.3966,2.3941,3,0,39,1.7956,0,0,0,0
2026-01-07_16-32-27-169,4.7238,12149,11.7588,1.6846,2.3941,3,0,38,2.1946,0,0,0,0
2026-01-07_16-32-28-185,1.4757,12149,8.716,1.7165,2.6934,9,0,38,1.7956,0,0,0,0
2026-01-07_16-32-29-190,3.8141,12205,12.9239,3.112,3.2262,3,0,39,1.7956,0,0,0,0
2026-01-07_16-32-30-202,3.4941,12198,7.54,1.9951,2.3941,4,0,39,1.7956,0,0,0,0
2026-01-07_16-32-31-205,0.907,12199,7.54,1.9951,2.3941,4,0,39,1.7956,0,0,0,0
2026-01-07_16-32-32-218,2.5816,12200,8.8032,1.0973,2.3941,3,0,38,4.5888,0,0,0,0
2026-01-07_16-32-33-224,6.9456,12198,11.0337,1.5961,2.3941,3,0,38,4.5888,0,0,0,0
2026-01-07_16-32-34-230,1.2561,12201,9.6717,1.0973,2.3941,6,0,38,1.7956,0,0,0,0
2026-01-07_16-32-35-237,1.7966,12196,7.6607,1.4963,2.3941,4,0,38,0.798,0,0,0,0
2026-01-07_16-32-36-245,1.8272,12199,8.7079,1.7707,2.3941,3,0,39,1.7956,0,0,0,0
2026-01-07_16-32-37-254,1.9335,12197,7,1.8171,2.3941,3,0,39,1.7956,0,0,0,0
2026-01-07_16-32-38-261,2.1996,12194,7.4974,1.7996,2.3941,1,0,39,1.7956,0,0,0,0
2026-01-07_16-32-39-271,2.2109,12191,7.783,2.1348,2.3941,3,0,38,0.798,0,0,0,0
2026-01-07_16-32-40-280,1.7654,12193,8.488,1.8727,2.3941,3,0,38,1.7956,0,0,0,0
2026-01-07_16-32-41-292,2.7452,12191,7.8804,1.9951,2.3941,2,0,38,1.1971,0,0,0,0
2026-01-07_16-32-42-305,2.0367,12190,8.7186,2.0949,2.3941,3,0,37,2.4939,0,0,0,0
2026-01-07_16-32-43-316,4.6127,12188,8.7186,2.0949,2.3941,3,0,37,2.4939,0,0,0,0
2026-01-07_16-32-44-323,1.9543,12188,7.6944,1.5251,2.3941,4,0,39,0.798,0,0,0,0
